19/07/12 20:31
Données du projet

                           	Segments	 Mots	Caractères (sans espaces)	Caractères (avec espaces)	
Total :                    	   11192	47988	                   256034	                   292247	
Restants :                 	       0	    0	                        0	                        0	
Segments uniques :         	    8121	39222	                   209627	                   240207	
Segments uniques restants :	       0	    0	                        0	                        0	


Statistiques par fichiers :

Nom du fichier               	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Mage_Sendfriend.csv.po       	            38	                0	              27	                        0	       159	            0	         137	                    0	                            778	                                 0	                              668	                                         0	                            899	                                 0	                              778	                                         0	
Mage_Shipping.csv.po         	            95	                0	              65	                        0	       345	            0	         292	                    0	                           1887	                                 0	                             1588	                                         0	                           2135	                                 0	                             1815	                                         0	
Mage_Sitemap.csv.po          	            46	                0	              27	                        0	       171	            0	         143	                    0	                            894	                                 0	                              733	                                         0	                           1019	                                 0	                              849	                                         0	
Mage_Strikeiron.csv.po       	            47	                0	              38	                        0	       213	            0	         195	                    0	                           1140	                                 0	                             1036	                                         0	                           1304	                                 0	                             1191	                                         0	
Mage_Tag.csv.po              	           110	                0	              60	                        0	       354	            0	         266	                    0	                           1715	                                 0	                             1290	                                         0	                           1955	                                 0	                             1493	                                         0	
Mage_Tax.csv.po              	           163	                0	             107	                        0	       653	            0	         508	                    0	                           3272	                                 0	                             2593	                                         0	                           3769	                                 0	                             3000	                                         0	
Mage_Usa.csv.po              	           317	                0	             254	                        0	       980	            0	         866	                    0	                           5431	                                 0	                             4832	                                         0	                           6092	                                 0	                             5442	                                         0	
Mage_Weee.csv.po             	            19	                0	               7	                        0	        73	            0	          30	                    0	                            377	                                 0	                              163	                                         0	                            431	                                 0	                              186	                                         0	
Mage_Widget.csv.po           	            79	                0	              35	                        0	       202	            0	         109	                    0	                           1136	                                 0	                              635	                                         0	                           1260	                                 0	                              708	                                         0	
Mage_Wishlist.csv.po         	           103	                0	              75	                        0	       487	            0	         426	                    0	                           2478	                                 0	                             2171	                                         0	                           2840	                                 0	                             2499	                                         0	
Mage_XmlConnect.csv.po       	           729	                0	             515	                        0	      4286	            0	        3573	                    0	                          22401	                                 0	                            18767	                                         0	                          25896	                                 0	                            21778	                                         0	
Phoenix_Moneybookers.csv.po  	            47	                0	              40	                        0	       295	            0	         279	                    0	                           1866	                                 0	                             1770	                                         0	                           2124	                                 0	                             2019	                                         0	
